GW1.24H_LASKIN_T,,Sub,station,GW1,24H,calculator,time,program,,,,,,,,,
GW1.HA11_VM_LV_K,,Sub,station,GW1,apartment,number,11,water,meter,heat,exchanger,time,,,,,
GW1.HA11_VM_LV_KAM,,Sub,station,GW1,apartment,number,11,water,meter,heat,exchanger,KAM,,,,,
GW1.HA12_AS_TE_AH2_FM,,Sub,station,GW1,apartment,number,12,deflected,setpoint,temperature,measurement,room,2,fictional,point,measurement,
GW1.HA12_AS_TE_AH_FM,,Sub,station,GW1,apartment,number,12,deflected,setpoint,temperature,measurement,room,fictional,point,measurement,,
GW1.HA12_AS_TE_KH_FM,,Sub,station,GW1,apartment,number,12,deflected,setpoint,temperature,measurement,bathroom,fictional,point,measurement,,
GW1.HA12_IMS15_A,,Sub,station,GW1,apartment,number,12,air,flow,controller,15,control,point,,,,
GW1.HA12_IMS15_AS_M,,Sub,station,GW1,apartment,number,12,air,flow,controller,15,deflected,setpoint,measurement,,,
GW1.HA12_IMS15_FA,,Sub,station,GW1,apartment,number,12,air,flow,controller,15,fictional,point,alarm,,,
GW1.HA12_IMS15_M,,Sub,station,GW1,apartment,number,12,air,flow,controller,15,measurement,,,,,
GW1.HA12_IMS17_A,,Sub,station,GW1,apartment,number,12,air,flow,controller,17,control,point,,,,
GW1.HA12_IMS17_AS_M,,Sub,station,GW1,apartment,number,12,air,flow,controller,17,deflected,setpoint,measurement,,,
GW1.HA12_IMS17_FA,,Sub,station,GW1,apartment,number,12,air,flow,controller,17,fictional,point,alarm,,,
GW1.HA12_IMS17_M,,Sub,station,GW1,apartment,number,12,air,flow,controller,17,measurement,,,,,
GW1.HA12_JAAH_ASETUS_AH1_FM,,Sub,station,GW1,apartment,number,12,cooling,set,point,room,1,fictional,point,measurement,,
GW1.HA12_JAAH_ASETUS_AH2_FM,,Sub,station,GW1,apartment,number,12,cooling,set,point,room,2,fictional,point,measurement,,
GW1.HA12_JAAH_ASETUS_KH_FM,,Sub,station,GW1,apartment,number,12,cooling,set,point,bathroom,fictional,point,measurement,,,
GW1.HA12_JAAHDYTYS_AH1_A,,Sub,station,GW1,apartment,number,12,cooling,room,1,control,point,,,,,
GW1.HA12_JAAHDYTYS_AH2_A,,Sub,station,GW1,apartment,number,12,cooling,room,2,control,point,,,,,
GW1.HA12_JAAHDYTYS_KH_A,,Sub,station,GW1,apartment,number,12,cooling,bathroom,control,point,,,,,,
GW1.HA12_KUIVATUS_KH_A,,Sub,station,GW1,apartment,number,12,drying,bathroom,control,point,,,,,,
GW1.HA12_LAMM_ASETUS_AH1_FM,,Sub,station,GW1,apartment,number,12,heating,set,point,room,1,fictional,point,measurement,,
GW1.HA12_LAMM_ASETUS_AH2_FM,,Sub,station,GW1,apartment,number,12,heating,set,point,room,2,fictional,point,measurement,,
GW1.HA12_LAMM_ASETUS_KH_FM,,Sub,station,GW1,apartment,number,12,heating,set,point,bathroom,fictional,point,measurement,,,
GW1.HA12_ME16_KH_ARH,,Sub,station,GW1,apartment,number,12,electronic,humidity,sensor,16,bathroom,low,limit,alarm,,
GW1.HA12_ME16_KH_M,,Sub,station,GW1,apartment,number,12,electronic,humidity,sensor,16,bathroom,measurement,,,,
GW1.HA12_ME16_KH_YRH,,Sub,station,GW1,apartment,number,12,electronic,humidity,sensor,16,bathroom,high,limit,alarm,,
GW1.HA12_MV10_AH1_A,,Sub,station,GW1,apartment,number,12,magnetic,valve,10,room,1,control,point,,,
GW1.HA12_MV10_AH2_A,,Sub,station,GW1,apartment,number,12,magnetic,valve,10,room,2,control,point,,,
GW1.HA12_MV10_KH_A,,Sub,station,GW1,apartment,number,12,magnetic,valve,10,bathroom,control,point,,,,
GW1.HA12_OE_FI,,Sub,station,GW1,apartment,number,12,OE,FI,,,,,,,,
GW1.HA12_QE16_AH1_ARH,,Sub,station,GW1,apartment,number,12,CO2,sensor,16,room,1,low,limit,alarm,,
GW1.HA12_QE16_AH1_M,,Sub,station,GW1,apartment,number,12,CO2,sensor,16,room,1,measurement,,,,
GW1.HA12_QE16_AH1_YRH,,Sub,station,GW1,apartment,number,12,CO2,sensor,16,room,1,high,limit,alarm,,
GW1.HA12_QE_TEHOSTUS_A,,Sub,station,GW1,apartment,number,12,CO2,sensor,boost,control,point,,,,,
GW1.HA12_SM_K,,Sub,station,GW1,apartment,number,12,SM,time,,,,,,,,
GW1.HA12_SM_KAM,,Sub,station,GW1,apartment,number,12,SM,KAM,,,,,,,,
GW1.HA12_TC16_MODULIVIKA_H,,Sub,station,GW1,apartment,number,12,temperature,controller,16,module,fault,alarm,point,,,
GW1.HA12_TE16_AH1_ARH,,Sub,station,GW1,apartment,number,12,temperature,measurement,16,room,1,low,limit,alarm,,
GW1.HA12_TE16_AH1_M,,Sub,station,GW1,apartment,number,12,temperature,measurement,16,room,1,measurement,,,,
GW1.HA12_TE16_AH1_YRH,,Sub,station,GW1,apartment,number,12,temperature,measurement,16,room,1,high,limit,alarm,,
GW1.HA12_TE16_AH2_M,,Sub,station,GW1,apartment,number,12,temperature,measurement,16,room,2,measurement,,,,
GW1.HA12_TE16_AH2_YRH,,Sub,station,GW1,apartment,number,12,temperature,measurement,16,room,2,high,limit,alarm,,
GW1.HA12_TE16_KH_ARH,,Sub,station,GW1,apartment,number,12,temperature,measurement,16,bathroom,low,limit,alarm,,,
GW1.HA12_TE16_KH_M,,Sub,station,GW1,apartment,number,12,temperature,measurement,16,bathroom,measurement,,,,,
GW1.HA12_TE16_KH_YRH,,Sub,station,GW1,apartment,number,12,temperature,measurement,16,bathroom,high,limit,alarm,,,
GW1.HA12_TEHOSTAJA_FI,,Sub,station,GW1,apartment,number,12,booster,FI,,,,,,,,
GW1.HA12_TEHOSTUS_FI,,Sub,station,GW1,apartment,number,12,boost,FI,,,,,,,,
GW1.HA12_TH16_AH1_M,,Sub,station,GW1,apartment,number,12,offset,from,the,setpoint,value,16,room,1,measurement,
GW1.HA12_TH16_AH2_M,,Sub,station,GW1,apartment,number,12,offset,from,the,setpoint,value,16,room,2,measurement,
GW1.HA12_TH16_KH_M,,Sub,station,GW1,apartment,number,12,offset,from,the,setpoint,value,16,bathroom,measurement,,
GW1.HA12_VM_EP_KV_K,,Sub,station,GW1,apartment,number,12,water,meter,EP,cold,water,time,,,,
GW1.HA12_VM_EP_LV_K,,Sub,station,GW1,apartment,number,12,water,meter,EP,heat,exchanger,time,,,,
GW1.HA12_VM_KV_K,,Sub,station,GW1,apartment,number,12,water,meter,cold,water,time,,,,,
GW1.HA12_VM_KV_KAM,,Sub,station,GW1,apartment,number,12,water,meter,cold,water,KAM,,,,,
GW1.HA12_VM_LV_K,,Sub,station,GW1,apartment,number,12,water,meter,heat,exchanger,time,,,,,
GW1.HA12_VM_LV_KAM,,Sub,station,GW1,apartment,number,12,water,meter,heat,exchanger,KAM,,,,,
GW1.HA13_AS_TE_AH_FM,,Sub,station,GW1,apartment,number,13,deflected,setpoint,temperature,measurement,room,fictional,point,measurement,,
GW1.HA13_AS_TE_KH_FM,,Sub,station,GW1,apartment,number,13,deflected,setpoint,temperature,measurement,bathroom,fictional,point,measurement,,
GW1.HA13_IMS15_A,,Sub,station,GW1,apartment,number,13,air,flow,controller,15,control,point,,,,
GW1.HA13_IMS15_AS_M,,Sub,station,GW1,apartment,number,13,air,flow,controller,15,deflected,setpoint,measurement,,,
GW1.HA13_IMS15_FA,,Sub,station,GW1,apartment,number,13,air,flow,controller,15,fictional,point,alarm,,,
GW1.HA13_IMS15_M,,Sub,station,GW1,apartment,number,13,air,flow,controller,15,measurement,,,,,
GW1.HA13_IMS17_A,,Sub,station,GW1,apartment,number,13,air,flow,controller,17,control,point,,,,
GW1.HA13_IMS17_AS_M,,Sub,station,GW1,apartment,number,13,air,flow,controller,17,deflected,setpoint,measurement,,,
GW1.HA13_IMS17_FA,,Sub,station,GW1,apartment,number,13,air,flow,controller,17,fictional,point,alarm,,,
GW1.HA13_IMS17_M,,Sub,station,GW1,apartment,number,13,air,flow,controller,17,measurement,,,,,
GW1.HA13_JAAH_ASETUS_AH1_FM,,Sub,station,GW1,apartment,number,13,cooling,set,point,room,1,fictional,point,measurement,,
GW1.HA13_JAAH_ASETUS_KH_FM,,Sub,station,GW1,apartment,number,13,cooling,set,point,bathroom,fictional,point,measurement,,,
GW1.HA13_JAAHDYTYS_AH1_A,,Sub,station,GW1,apartment,number,13,cooling,room,1,control,point,,,,,
GW1.HA13_JAAHDYTYS_KH_A,,Sub,station,GW1,apartment,number,13,cooling,bathroom,control,point,,,,,,
