GW1.24H_LASKIN_T,,Sub,station,GW1,24H,calculator,time,program,,,,,,,,,
GW2.HA22_IMS17_A,,Sub,station,GW2,apartment,number,22,air,flow,controller,17,control,point,,,,
GW2.HA22_IMS17_M,,Sub,station,GW2,apartment,number,22,air,flow,controller,17,measurement,,,,,
GW2.HA22_JAAH_ASETUS_AH1_FM,,Sub,station,GW2,apartment,number,22,cooling,set,point,room,1,fictional,point,measurement,,
GW2.HA22_JAAH_ASETUS_KH_FM,,Sub,station,GW2,apartment,number,22,cooling,set,point,bathroom,fictional,point,measurement,,,
GW2.HA22_JAAHDYTYS_AH1_A,,Sub,station,GW2,apartment,number,22,cooling,room,1,control,point,,,,,
GW2.HA22_JAAHDYTYS_KH_A,,Sub,station,GW2,apartment,number,22,cooling,bathroom,control,point,,,,,,
GW2.HA22_KUIVATUS_KH_A,,Sub,station,GW2,apartment,number,22,drying,bathroom,control,point,,,,,,
GW2.HA22_LAMM_ASETUS_AH1_FM,,Sub,station,GW2,apartment,number,22,heating,set,point,room,1,fictional,point,measurement,,
GW2.HA22_LAMM_ASETUS_KH_FM,,Sub,station,GW2,apartment,number,22,heating,set,point,bathroom,fictional,point,measurement,,,
GW2.HA22_ME16_KH_ARH,,Sub,station,GW2,apartment,number,22,electronic,humidity,sensor,16,bathroom,low,limit,alarm,,
GW2.HA22_ME16_KH_M,,Sub,station,GW2,apartment,number,22,electronic,humidity,sensor,16,bathroom,measurement,,,,
GW2.HA22_ME16_KH_YRH,,Sub,station,GW2,apartment,number,22,electronic,humidity,sensor,16,bathroom,high,limit,alarm,,
GW2.HA22_MV10_AH1_A,,Sub,station,GW2,apartment,number,22,magnetic,valve,10,room,1,control,point,,,
GW2.HA22_MV10_KH_A,,Sub,station,GW2,apartment,number,22,magnetic,valve,10,bathroom,control,point,,,,
GW2.HA22_OE_FI,,Sub,station,GW2,apartment,number,22,OE,FI,,,,,,,,
GW2.HA22_QE16_AH1_ARH,,Sub,station,GW2,apartment,number,22,CO2,sensor,16,room,1,low,limit,alarm,,
GW2.HA22_QE16_AH1_M,,Sub,station,GW2,apartment,number,22,CO2,sensor,16,room,1,measurement,,,,
GW2.HA22_QE16_AH1_YRH,,Sub,station,GW2,apartment,number,22,CO2,sensor,16,room,1,high,limit,alarm,,
GW2.HA22_QE_TEHOSTUS_A,,Sub,station,GW2,apartment,number,22,CO2,sensor,boost,control,point,,,,,
GW2.HA22_SM_K,,Sub,station,GW2,apartment,number,22,SM,time,,,,,,,,
GW2.HA22_SM_KAM,,Sub,station,GW2,apartment,number,22,SM,KAM,,,,,,,,
GW2.HA22_TC16_MODULIVIKA_H,,Sub,station,GW2,apartment,number,22,temperature,controller,16,module,fault,alarm,point,,,
GW2.HA22_TE16_AH1_ARH,,Sub,station,GW2,apartment,number,22,temperature,measurement,16,room,1,low,limit,alarm,,
GW2.HA22_TE16_AH1_M,,Sub,station,GW2,apartment,number,22,temperature,measurement,16,room,1,measurement,,,,
GW2.HA22_TE16_AH1_YRH,,Sub,station,GW2,apartment,number,22,temperature,measurement,16,room,1,high,limit,alarm,,
GW2.HA22_TE16_KH_ARH,,Sub,station,GW2,apartment,number,22,temperature,measurement,16,bathroom,low,limit,alarm,,,
GW2.HA22_TE16_KH_M,,Sub,station,GW2,apartment,number,22,temperature,measurement,16,bathroom,measurement,,,,,
GW2.HA22_TE16_KH_YRH,,Sub,station,GW2,apartment,number,22,temperature,measurement,16,bathroom,high,limit,alarm,,,
GW2.HA22_TEHOSTAJA_FI,,Sub,station,GW2,apartment,number,22,booster,FI,,,,,,,,
GW2.HA22_TEHOSTUS_FI,,Sub,station,GW2,apartment,number,22,boost,FI,,,,,,,,
GW2.HA22_TH16_AH1_M,,Sub,station,GW2,apartment,number,22,offset,from,the,setpoint,value,16,room,1,measurement,
GW2.HA22_TH16_KH_M,,Sub,station,GW2,apartment,number,22,offset,from,the,setpoint,value,16,bathroom,measurement,,
GW2.HA22_VM_EP_KV_K,,Sub,station,GW2,apartment,number,22,water,meter,EP,cold,water,time,,,,
GW2.HA22_VM_EP_LV_K,,Sub,station,GW2,apartment,number,22,water,meter,EP,heat,exchanger,time,,,,
GW2.HA22_VM_KV_K,,Sub,station,GW2,apartment,number,22,water,meter,cold,water,time,,,,,
GW2.HA22_VM_KV_KAM,,Sub,station,GW2,apartment,number,22,water,meter,cold,water,KAM,,,,,
GW2.HA22_VM_LV_K,,Sub,station,GW2,apartment,number,22,water,meter,heat,exchanger,time,,,,,
GW2.HA22_VM_LV_KAM,,Sub,station,GW2,apartment,number,22,water,meter,heat,exchanger,KAM,,,,,
GW2.HA23_AS_TE_AH_FM,,Sub,station,GW2,apartment,number,23,deflected,setpoint,temperature,measurement,room,fictional,point,measurement,,
GW2.HA23_IMS15_A,,Sub,station,GW2,apartment,number,23,air,flow,controller,15,control,point,,,,
GW2.HA23_IMS15_M,,Sub,station,GW2,apartment,number,23,air,flow,controller,15,measurement,,,,,
GW2.HA23_IMS17_A,,Sub,station,GW2,apartment,number,23,air,flow,controller,17,control,point,,,,
GW2.HA23_IMS17_M,,Sub,station,GW2,apartment,number,23,air,flow,controller,17,measurement,,,,,
GW2.HA23_JAAH_ASETUS_AH1_FM,,Sub,station,GW2,apartment,number,23,cooling,set,point,room,1,fictional,point,measurement,,
GW2.HA23_JAAH_ASETUS_KH_FM,,Sub,station,GW2,apartment,number,23,cooling,set,point,bathroom,fictional,point,measurement,,,
GW2.HA23_JAAHDYTYS_AH1_A,,Sub,station,GW2,apartment,number,23,cooling,room,1,control,point,,,,,
GW2.HA23_JAAHDYTYS_KH_A,,Sub,station,GW2,apartment,number,23,cooling,bathroom,control,point,,,,,,
GW2.HA23_KUIVATUS_KH_A,,Sub,station,GW2,apartment,number,23,drying,bathroom,control,point,,,,,,
GW2.HA23_LAMM_ASETUS_AH1_FM,,Sub,station,GW2,apartment,number,23,heating,set,point,room,1,fictional,point,measurement,,
GW2.HA23_LAMM_ASETUS_KH_FM,,Sub,station,GW2,apartment,number,23,heating,set,point,bathroom,fictional,point,measurement,,,
GW2.HA23_ME16_KH_ARH,,Sub,station,GW2,apartment,number,23,electronic,humidity,sensor,16,bathroom,low,limit,alarm,,
GW2.HA23_ME16_KH_M,,Sub,station,GW2,apartment,number,23,electronic,humidity,sensor,16,bathroom,measurement,,,,
GW2.HA23_ME16_KH_YRH,,Sub,station,GW2,apartment,number,23,electronic,humidity,sensor,16,bathroom,high,limit,alarm,,
GW2.HA23_MV10_AH1_A,,Sub,station,GW2,apartment,number,23,magnetic,valve,10,room,1,control,point,,,
GW2.HA23_MV10_KH_A,,Sub,station,GW2,apartment,number,23,magnetic,valve,10,bathroom,control,point,,,,
GW2.HA23_OE_FI,,Sub,station,GW2,apartment,number,23,OE,FI,,,,,,,,
GW2.HA23_QE16_AH1_ARH,,Sub,station,GW2,apartment,number,23,CO2,sensor,16,room,1,low,limit,alarm,,
GW2.HA23_QE16_AH1_M,,Sub,station,GW2,apartment,number,23,CO2,sensor,16,room,1,measurement,,,,
GW2.HA23_QE16_AH1_YRH,,Sub,station,GW2,apartment,number,23,CO2,sensor,16,room,1,high,limit,alarm,,
GW2.HA23_QE_TEHOSTUS_A,,Sub,station,GW2,apartment,number,23,CO2,sensor,boost,control,point,,,,,
GW2.HA23_SM_K,,Sub,station,GW2,apartment,number,23,SM,time,,,,,,,,
GW2.HA23_SM_KAM,,Sub,station,GW2,apartment,number,23,SM,KAM,,,,,,,,
GW2.HA23_TC16_MODULIVIKA_H,,Sub,station,GW2,apartment,number,23,temperature,controller,16,module,fault,alarm,point,,,
GW2.HA23_TE16_AH1_ARH,,Sub,station,GW2,apartment,number,23,temperature,measurement,16,room,1,low,limit,alarm,,
GW2.HA23_TE16_AH1_M,,Sub,station,GW2,apartment,number,23,temperature,measurement,16,room,1,measurement,,,,
GW2.HA23_TE16_AH1_YRH,,Sub,station,GW2,apartment,number,23,temperature,measurement,16,room,1,high,limit,alarm,,
GW2.HA23_TE16_KH_ARH,,Sub,station,GW2,apartment,number,23,temperature,measurement,16,bathroom,low,limit,alarm,,,
GW2.HA23_TE16_KH_M,,Sub,station,GW2,apartment,number,23,temperature,measurement,16,bathroom,measurement,,,,,
GW2.HA23_TE16_KH_YRH,,Sub,station,GW2,apartment,number,23,temperature,measurement,16,bathroom,high,limit,alarm,,,
GW2.HA23_TEHOSTAJA_FI,,Sub,station,GW2,apartment,number,23,booster,FI,,,,,,,,
GW2.HA23_TEHOSTUS_FI,,Sub,station,GW2,apartment,number,23,boost,FI,,,,,,,,
GW2.HA23_TH16_AH1_M,,Sub,station,GW2,apartment,number,23,offset,from,the,setpoint,value,16,room,1,measurement,
GW2.HA23_TH16_KH_M,,Sub,station,GW2,apartment,number,23,offset,from,the,setpoint,value,16,bathroom,measurement,,
GW2.HA23_VM_EP_KV_K,,Sub,station,GW2,apartment,number,23,water,meter,EP,cold,water,time,,,,
GW2.HA23_VM_EP_LV_K,,Sub,station,GW2,apartment,number,23,water,meter,EP,heat,exchanger,time,,,,
GW2.HA23_VM_KV_K,,Sub,station,GW2,apartment,number,23,water,meter,cold,water,time,,,,,
GW2.HA23_VM_KV_KAM,,Sub,station,GW2,apartment,number,23,water,meter,cold,water,KAM,,,,,
GW2.HA23_VM_LV_K,,Sub,station,GW2,apartment,number,23,water,meter,heat,exchanger,time,,,,,
GW2.HA23_VM_LV_KAM,,Sub,station,GW2,apartment,number,23,water,meter,heat,exchanger,KAM,,,,,
GW2.HA24_AS_TE_AH2_FM,,Sub,station,GW2,apartment,number,24,deflected,setpoint,temperature,measurement,room,2,fictional,point,measurement,
GW2.HA24_AS_TE_KH_FM,,Sub,station,GW2,apartment,number,24,deflected,setpoint,temperature,measurement,bathroom,fictional,point,measurement,,
GW2.HA24_IMS15_A,,Sub,station,GW2,apartment,number,24,air,flow,controller,15,control,point,,,,
GW2.HA24_IMS15_M,,Sub,station,GW2,apartment,number,24,air,flow,controller,15,measurement,,,,,
GW2.HA24_IMS17_A,,Sub,station,GW2,apartment,number,24,air,flow,controller,17,control,point,,,,
GW2.HA24_IMS17_M,,Sub,station,GW2,apartment,number,24,air,flow,controller,17,measurement,,,,,
GW2.HA24_JAAH_ASETUS_AH1_FM,,Sub,station,GW2,apartment,number,24,cooling,set,point,room,1,fictional,point,measurement,,
GW2.HA24_JAAH_ASETUS_AH2_FM,,Sub,station,GW2,apartment,number,24,cooling,set,point,room,2,fictional,point,measurement,,
GW2.HA24_JAAH_ASETUS_KH_FM,,Sub,station,GW2,apartment,number,24,cooling,set,point,bathroom,fictional,point,measurement,,,
GW2.HA24_JAAHDYTYS_AH1_A,,Sub,station,GW2,apartment,number,24,cooling,room,1,control,point,,,,,
GW2.HA24_JAAHDYTYS_AH2_A,,Sub,station,GW2,apartment,number,24,cooling,room,2,control,point,,,,,
GW2.HA24_JAAHDYTYS_KH_A,,Sub,station,GW2,apartment,number,24,cooling,bathroom,control,point,,,,,,
GW2.HA24_KUIVATUS_KH_A,,Sub,station,GW2,apartment,number,24,drying,bathroom,control,point,,,,,,
GW2.HA24_LAMM_ASETUS_AH1_FM,,Sub,station,GW2,apartment,number,24,heating,set,point,room,1,fictional,point,measurement,,
GW2.HA24_LAMM_ASETUS_AH2_FM,,Sub,station,GW2,apartment,number,24,heating,set,point,room,2,fictional,point,measurement,,
GW2.HA24_LAMM_ASETUS_KH_FM,,Sub,station,GW2,apartment,number,24,heating,set,point,bathroom,fictional,point,measurement,,,
GW2.HA24_ME16_KH_ARH,,Sub,station,GW2,apartment,number,24,electronic,humidity,sensor,16,bathroom,low,limit,alarm,,
GW2.HA24_ME16_KH_M,,Sub,station,GW2,apartment,number,24,electronic,humidity,sensor,16,bathroom,measurement,,,,
GW2.HA24_ME16_KH_YRH,,Sub,station,GW2,apartment,number,24,electronic,humidity,sensor,16,bathroom,high,limit,alarm,,
GW2.HA24_MV10_AH1_A,,Sub,station,GW2,apartment,number,24,magnetic,valve,10,room,1,control,point,,,
GW2.HA24_MV10_AH2_A,,Sub,station,GW2,apartment,number,24,magnetic,valve,10,room,2,control,point,,,
GW2.HA24_MV10_KH_A,,Sub,station,GW2,apartment,number,24,magnetic,valve,10,bathroom,control,point,,,,
GW2.HA24_OE_FI,,Sub,station,GW2,apartment,number,24,OE,FI,,,,,,,,
GW2.HA24_QE16_AH1_ARH,,Sub,station,GW2,apartment,number,24,CO2,sensor,16,room,1,low,limit,alarm,,
GW2.HA24_QE16_AH1_M,,Sub,station,GW2,apartment,number,24,CO2,sensor,16,room,1,measurement,,,,
GW2.HA24_QE16_AH1_YRH,,Sub,station,GW2,apartment,number,24,CO2,sensor,16,room,1,high,limit,alarm,,
GW2.HA24_QE_TEHOSTUS_A,,Sub,station,GW2,apartment,number,24,CO2,sensor,boost,control,point,,,,,
GW2.HA24_SM_K,,Sub,station,GW2,apartment,number,24,SM,time,,,,,,,,
GW2.HA24_SM_KAM,,Sub,station,GW2,apartment,number,24,SM,KAM,,,,,,,,
GW2.HA24_TC16_MODULIVIKA_H,,Sub,station,GW2,apartment,number,24,temperature,controller,16,module,fault,alarm,point,,,
GW2.HA24_TE16_AH1_ARH,,Sub,station,GW2,apartment,number,24,temperature,measurement,16,room,1,low,limit,alarm,,
GW2.HA24_TE16_AH1_M,,Sub,station,GW2,apartment,number,24,temperature,measurement,16,room,1,measurement,,,,
GW2.HA24_TE16_AH1_YRH,,Sub,station,GW2,apartment,number,24,temperature,measurement,16,room,1,high,limit,alarm,,
GW2.HA24_TE16_AH2_M,,Sub,station,GW2,apartment,number,24,temperature,measurement,16,room,2,measurement,,,,
GW2.HA24_TE16_AH2_YRH,,Sub,station,GW2,apartment,number,24,temperature,measurement,16,room,2,high,limit,alarm,,
GW2.HA24_TE16_KH_ARH,,Sub,station,GW2,apartment,number,24,temperature,measurement,16,bathroom,low,limit,alarm,,,
GW2.HA24_TE16_KH_M,,Sub,station,GW2,apartment,number,24,temperature,measurement,16,bathroom,measurement,,,,,
GW2.HA24_TE16_KH_YRH,,Sub,station,GW2,apartment,number,24,temperature,measurement,16,bathroom,high,limit,alarm,,,
GW2.HA24_TEHOSTAJA_FI,,Sub,station,GW2,apartment,number,24,booster,FI,,,,,,,,
GW2.HA24_TEHOSTUS_FI,,Sub,station,GW2,apartment,number,24,boost,FI,,,,,,,,
GW2.HA24_TH16_AH1_M,,Sub,station,GW2,apartment,number,24,offset,from,the,setpoint,value,16,room,1,measurement,
GW2.HA24_TH16_AH2_M,,Sub,station,GW2,apartment,number,24,offset,from,the,setpoint,value,16,room,2,measurement,
GW2.HA24_TH16_KH_M,,Sub,station,GW2,apartment,number,24,offset,from,the,setpoint,value,16,bathroom,measurement,,
GW2.HA24_VM_EP_KV_K,,Sub,station,GW2,apartment,number,24,water,meter,EP,cold,water,time,,,,
GW2.HA24_VM_EP_LV_K,,Sub,station,GW2,apartment,number,24,water,meter,EP,heat,exchanger,time,,,,
GW2.HA24_VM_KV_K,,Sub,station,GW2,apartment,number,24,water,meter,cold,water,time,,,,,
GW2.HA24_VM_KV_KAM,,Sub,station,GW2,apartment,number,24,water,meter,cold,water,KAM,,,,,
GW2.HA24_VM_LV_K,,Sub,station,GW2,apartment,number,24,water,meter,heat,exchanger,time,,,,,
GW2.HA24_VM_LV_KAM,,Sub,station,GW2,apartment,number,24,water,meter,heat,exchanger,KAM,,,,,
GW2.HA31_IMS15_AM,,Sub,station,GW2,apartment,number,31,air,flow,controller,15,AM,,,,,
GW2.HA31_IMS15_M,,Sub,station,GW2,apartment,number,31,air,flow,controller,15,measurement,,,,,
GW2.HA31_IMS17_AM,,Sub,station,GW2,apartment,number,31,air,flow,controller,17,AM,,,,,
GW2.HA31_IMS17_M,,Sub,station,GW2,apartment,number,31,air,flow,controller,17,measurement,,,,,
GW2.HA31_JAAH_ASETUS_AH1_FM,,Sub,station,GW2,apartment,number,31,cooling,set,point,room,1,fictional,point,measurement,,
GW2.HA31_JAAH_ASETUS_AH2_FM,,Sub,station,GW2,apartment,number,31,cooling,set,point,room,2,fictional,point,measurement,,
GW2.HA31_JAAH_ASETUS_KH2_FM,,Sub,station,GW2,apartment,number,31,cooling,set,point,bathroom,2,fictional,point,measurement,,
GW2.HA31_JAAH_ASETUS_KH_FM,,Sub,station,GW2,apartment,number,31,cooling,set,point,bathroom,fictional,point,measurement,,,
GW2.HA31_JAAHDYTYS_AH1_A,,Sub,station,GW2,apartment,number,31,cooling,room,1,control,point,,,,,
GW2.HA31_JAAHDYTYS_AH2_A,,Sub,station,GW2,apartment,number,31,cooling,room,2,control,point,,,,,
GW2.HA31_JAAHDYTYS_KH2_A,,Sub,station,GW2,apartment,number,31,cooling,bathroom,2,control,point,,,,,
GW2.HA31_JAAHDYTYS_KH_A,,Sub,station,GW2,apartment,number,31,cooling,bathroom,control,point,,,,,,
GW2.HA31_KUIVATUS_KH2_A,,Sub,station,GW2,apartment,number,31,drying,bathroom,2,control,point,,,,,
GW2.HA31_KUIVATUS_KH_A,,Sub,station,GW2,apartment,number,31,drying,bathroom,control,point,,,,,,
GW2.HA31_LAMM_ASETUS_AH1_FM,,Sub,station,GW2,apartment,number,31,heating,set,point,room,1,fictional,point,measurement,,
GW2.HA31_LAMM_ASETUS_AH2_FM,,Sub,station,GW2,apartment,number,31,heating,set,point,room,2,fictional,point,measurement,,
GW2.HA31_LAMM_ASETUS_KH2_FM,,Sub,station,GW2,apartment,number,31,heating,set,point,bathroom,2,fictional,point,measurement,,
GW2.HA31_LAMM_ASETUS_KH_FM,,Sub,station,GW2,apartment,number,31,heating,set,point,bathroom,fictional,point,measurement,,,
GW2.HA31_ME16_KH2_ARH,,Sub,station,GW2,apartment,number,31,electronic,humidity,sensor,16,bathroom,2,low,limit,alarm,
GW2.HA31_ME16_KH2_M,,Sub,station,GW2,apartment,number,31,electronic,humidity,sensor,16,bathroom,2,measurement,,,
GW2.HA31_ME16_KH2_YRH,,Sub,station,GW2,apartment,number,31,electronic,humidity,sensor,16,bathroom,2,high,limit,alarm,
GW2.HA31_ME16_KH_ARH,,Sub,station,GW2,apartment,number,31,electronic,humidity,sensor,16,bathroom,low,limit,alarm,,
GW2.HA31_ME16_KH_M,,Sub,station,GW2,apartment,number,31,electronic,humidity,sensor,16,bathroom,measurement,,,,
GW2.HA31_ME16_KH_YRH,,Sub,station,GW2,apartment,number,31,electronic,humidity,sensor,16,bathroom,high,limit,alarm,,
GW2.HA31_OE_FI,,Sub,station,GW2,apartment,number,31,OE,FI,,,,,,,,
GW2.HA31_QE16_AH1_ARH,,Sub,station,GW2,apartment,number,31,CO2,sensor,16,room,1,low,limit,alarm,,
GW2.HA31_QE16_AH1_M,,Sub,station,GW2,apartment,number,31,CO2,sensor,16,room,1,measurement,,,,
GW2.HA31_QE16_AH1_YRH,,Sub,station,GW2,apartment,number,31,CO2,sensor,16,room,1,high,limit,alarm,,
GW2.HA31_QE_TEHOSTUS_A,,Sub,station,GW2,apartment,number,31,CO2,sensor,boost,control,point,,,,,
GW2.HA31_SM_K,,Sub,station,GW2,apartment,number,31,SM,time,,,,,,,,
GW2.HA31_TC16_MODULIVIKA_H,,Sub,station,GW2,apartment,number,31,temperature,controller,16,module,fault,alarm,point,,,
GW2.HA31_TE16_AH1_ARH,,Sub,station,GW2,apartment,number,31,temperature,measurement,16,room,1,low,limit,alarm,,
GW2.HA31_TE16_AH1_YRH,,Sub,station,GW2,apartment,number,31,temperature,measurement,16,room,1,high,limit,alarm,,
GW2.HA31_TE16_AH2_YRH,,Sub,station,GW2,apartment,number,31,temperature,measurement,16,room,2,high,limit,alarm,,
GW2.HA31_TE16_KH2_ARH,,Sub,station,GW2,apartment,number,31,temperature,measurement,16,bathroom,2,low,limit,alarm,,
GW2.HA31_TE16_KH2_YRH,,Sub,station,GW2,apartment,number,31,temperature,measurement,16,bathroom,2,high,limit,alarm,,
GW2.HA31_TE16_KH_ARH,,Sub,station,GW2,apartment,number,31,temperature,measurement,16,bathroom,low,limit,alarm,,,
GW2.HA31_TE16_KH_YRH,,Sub,station,GW2,apartment,number,31,temperature,measurement,16,bathroom,high,limit,alarm,,,
GW2.HA31_TEHOSTAJA_FI,,Sub,station,GW2,apartment,number,31,booster,FI,,,,,,,,
GW2.HA31_TEHOSTUS_FI,,Sub,station,GW2,apartment,number,31,boost,FI,,,,,,,,
GW2.HA31_TH16_AH1_M,,Sub,station,GW2,apartment,number,31,offset,from,the,setpoint,value,16,room,1,measurement,
GW2.HA31_TH16_AH2_M,,Sub,station,GW2,apartment,number,31,offset,from,the,setpoint,value,16,room,2,measurement,
GW2.HA31_TH16_KH2_M,,Sub,station,GW2,apartment,number,31,offset,from,the,setpoint,value,16,bathroom,2,measurement,
GW2.HA31_TH16_KH_M,,Sub,station,GW2,apartment,number,31,offset,from,the,setpoint,value,16,bathroom,measurement,,
GW2.HA31_VM_KV_K,,Sub,station,GW2,apartment,number,31,water,meter,cold,water,time,,,,,
GW2.HA31_VM_LV_K,,Sub,station,GW2,apartment,number,31,water,meter,heat,exchanger,time,,,,,
GW2.HA32_AS_TE_AH2_FM,,Sub,station,GW2,apartment,number,32,deflected,setpoint,temperature,measurement,room,2,fictional,point,measurement,
GW2.HA32_AS_TE_AH_FM,,Sub,station,GW2,apartment,number,32,deflected,setpoint,temperature,measurement,room,fictional,point,measurement,,
GW2.HA32_AS_TE_KH_FM,,Sub,station,GW2,apartment,number,32,deflected,setpoint,temperature,measurement,bathroom,fictional,point,measurement,,
GW2.HA32_IMS15_A,,Sub,station,GW2,apartment,number,32,air,flow,controller,15,control,point,,,,
GW2.HA32_IMS15_M,,Sub,station,GW2,apartment,number,32,air,flow,controller,15,measurement,,,,,
GW2.HA32_IMS17_A,,Sub,station,GW2,apartment,number,32,air,flow,controller,17,control,point,,,,
GW2.HA32_IMS17_M,,Sub,station,GW2,apartment,number,32,air,flow,controller,17,measurement,,,,,
GW2.HA32_JAAH_ASETUS_AH1_FM,,Sub,station,GW2,apartment,number,32,cooling,set,point,room,1,fictional,point,measurement,,
GW2.HA32_JAAH_ASETUS_AH2_FM,,Sub,station,GW2,apartment,number,32,cooling,set,point,room,2,fictional,point,measurement,,
GW2.HA32_JAAH_ASETUS_KH_FM,,Sub,station,GW2,apartment,number,32,cooling,set,point,bathroom,fictional,point,measurement,,,
GW2.HA32_JAAHDYTYS_AH1_A,,Sub,station,GW2,apartment,number,32,cooling,room,1,control,point,,,,,
GW2.HA32_JAAHDYTYS_AH2_A,,Sub,station,GW2,apartment,number,32,cooling,room,2,control,point,,,,,
GW2.HA32_JAAHDYTYS_KH_A,,Sub,station,GW2,apartment,number,32,cooling,bathroom,control,point,,,,,,
GW2.HA32_KUIVATUS_KH_A,,Sub,station,GW2,apartment,number,32,drying,bathroom,control,point,,,,,,
GW2.HA32_LAMM_ASETUS_AH1_FM,,Sub,station,GW2,apartment,number,32,heating,set,point,room,1,fictional,point,measurement,,
GW2.HA32_LAMM_ASETUS_AH2_FM,,Sub,station,GW2,apartment,number,32,heating,set,point,room,2,fictional,point,measurement,,
GW2.HA32_LAMM_ASETUS_KH_FM,,Sub,station,GW2,apartment,number,32,heating,set,point,bathroom,fictional,point,measurement,,,
GW2.HA32_ME16_KH_ARH,,Sub,station,GW2,apartment,number,32,electronic,humidity,sensor,16,bathroom,low,limit,alarm,,
GW2.HA32_ME16_KH_M,,Sub,station,GW2,apartment,number,32,electronic,humidity,sensor,16,bathroom,measurement,,,,
GW2.HA32_ME16_KH_YRH,,Sub,station,GW2,apartment,number,32,electronic,humidity,sensor,16,bathroom,high,limit,alarm,,
GW2.HA32_MV10_AH1_A,,Sub,station,GW2,apartment,number,32,magnetic,valve,10,room,1,control,point,,,
GW2.HA32_MV10_AH2_A,,Sub,station,GW2,apartment,number,32,magnetic,valve,10,room,2,control,point,,,
GW2.HA32_MV10_KH_A,,Sub,station,GW2,apartment,number,32,magnetic,valve,10,bathroom,control,point,,,,
GW2.HA32_OE_FI,,Sub,station,GW2,apartment,number,32,OE,FI,,,,,,,,
GW2.HA32_QE16_AH1_ARH,,Sub,station,GW2,apartment,number,32,CO2,sensor,16,room,1,low,limit,alarm,,
GW2.HA32_QE16_AH1_M,,Sub,station,GW2,apartment,number,32,CO2,sensor,16,room,1,measurement,,,,
GW2.HA32_QE16_AH1_YRH,,Sub,station,GW2,apartment,number,32,CO2,sensor,16,room,1,high,limit,alarm,,
GW2.HA32_QE_TEHOSTUS_A,,Sub,station,GW2,apartment,number,32,CO2,sensor,boost,control,point,,,,,
GW2.HA32_SM_K,,Sub,station,GW2,apartment,number,32,SM,time,,,,,,,,
GW2.HA32_SM_KAM,,Sub,station,GW2,apartment,number,32,SM,KAM,,,,,,,,
GW2.HA32_TC16_MODULIVIKA_H,,Sub,station,GW2,apartment,number,32,temperature,controller,16,module,fault,alarm,point,,,
GW2.HA32_TE16_AH1_ARH,,Sub,station,GW2,apartment,number,32,temperature,measurement,16,room,1,low,limit,alarm,,
GW2.HA32_TE16_AH1_M,,Sub,station,GW2,apartment,number,32,temperature,measurement,16,room,1,measurement,,,,
GW2.HA32_TE16_AH1_YRH,,Sub,station,GW2,apartment,number,32,temperature,measurement,16,room,1,high,limit,alarm,,
GW2.HA32_TE16_AH2_M,,Sub,station,GW2,apartment,number,32,temperature,measurement,16,room,2,measurement,,,,
GW2.HA32_TE16_AH2_YRH,,Sub,station,GW2,apartment,number,32,temperature,measurement,16,room,2,high,limit,alarm,,
GW2.HA32_TE16_KH_ARH,,Sub,station,GW2,apartment,number,32,temperature,measurement,16,bathroom,low,limit,alarm,,,
GW2.HA32_TE16_KH_M,,Sub,station,GW2,apartment,number,32,temperature,measurement,16,bathroom,measurement,,,,,
GW2.HA32_TE16_KH_YRH,,Sub,station,GW2,apartment,number,32,temperature,measurement,16,bathroom,high,limit,alarm,,,
GW2.HA32_TEHOSTAJA_FI,,Sub,station,GW2,apartment,number,32,booster,FI,,,,,,,,
GW2.HA32_TEHOSTUS_FI,,Sub,station,GW2,apartment,number,32,boost,FI,,,,,,,,
GW2.HA32_TH16_AH1_M,,Sub,station,GW2,apartment,number,32,offset,from,the,setpoint,value,16,room,1,measurement,
GW2.HA32_TH16_AH2_M,,Sub,station,GW2,apartment,number,32,offset,from,the,setpoint,value,16,room,2,measurement,
GW2.HA32_TH16_KH_M,,Sub,station,GW2,apartment,number,32,offset,from,the,setpoint,value,16,bathroom,measurement,,
GW2.HA32_VM_EP_KV_K,,Sub,station,GW2,apartment,number,32,water,meter,EP,cold,water,time,,,,
GW2.HA32_VM_EP_LV_K,,Sub,station,GW2,apartment,number,32,water,meter,EP,heat,exchanger,time,,,,
GW2.HA32_VM_KV_K,,Sub,station,GW2,apartment,number,32,water,meter,cold,water,time,,,,,
GW2.HA32_VM_KV_KAM,,Sub,station,GW2,apartment,number,32,water,meter,cold,water,KAM,,,,,
GW2.HA32_VM_LV_K,,Sub,station,GW2,apartment,number,32,water,meter,heat,exchanger,time,,,,,
GW2.HA32_VM_LV_KAM,,Sub,station,GW2,apartment,number,32,water,meter,heat,exchanger,KAM,,,,,
GW2.HA33_AS_TE_AH2_FM,,Sub,station,GW2,apartment,number,33,deflected,setpoint,temperature,measurement,room,2,fictional,point,measurement,
GW2.HA33_AS_TE_AH_FM,,Sub,station,GW2,apartment,number,33,deflected,setpoint,temperature,measurement,room,fictional,point,measurement,,
GW2.HA33_AS_TE_KH_FM,,Sub,station,GW2,apartment,number,33,deflected,setpoint,temperature,measurement,bathroom,fictional,point,measurement,,
GW2.HA33_IMS15_A,,Sub,station,GW2,apartment,number,33,air,flow,controller,15,control,point,,,,
GW2.HA33_IMS15_M,,Sub,station,GW2,apartment,number,33,air,flow,controller,15,measurement,,,,,
